COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
SNHM19;Salaire net horaire moyen en 2019 (€);Salaire net horaire moyen en 2019 (€);;;NUM;16
SNHMC19;Salaire net hor. Moy. Cadres sup. en 2019 (€);Salaire net horaire moyen des cadres, professions intellectuelles supérieures et des chefs d'entreprises salariés en 2019 (€);;;NUM;16
SNHMP19;Salaire net hor. moy. prof inter. en 2019 (€);Salaire net horaire moyen des professions intermédiaires en 2019 (€);;;NUM;16
SNHME19;Salaire net hor. moy. employés en 2019 (€);Salaire net horaire moyen des employés en 2019 (€);;;NUM;16
SNHMO19;Salaire net hor. moy. ouvriers en 2019 (€);Salaire net horaire moyen des ouvriers en 2019 (€);;;NUM;16
SNHMF19;Salaire net horaire moyen F en 2019 (€);Salaire net horaire moyen des femmes en 2019 (€);;;NUM;16
SNHMFC19;Salaire net hor. moy. F cadres sup. en 2019 (€);Salaire net horaire moyen des femmes cadres, professions intellectuelles supérieures et des chefs d'entreprises salariés en 2019 (€);;;NUM;16
SNHMFP19;Salaire net hor. moy. F prof inter. en 2019 (€);Salaire net horaire moyen des femmes exerçant une profession intermédiaire en 2019 (€);;;NUM;15
SNHMFE19;Salaire net hor. moy. F employés en 2019 (€);Salaire net horaire moyen des femmes employées en 2019 (€);;;NUM;16
SNHMFO19;Salaire net hor. moy. F ouvriers en 2019 (€);Salaire net horaire moyen des femmes ouvrières en 2019 (€);;;NUM;16
SNHMH19;Salaire net horaire moyen H en 2019 (€);Salaire net horaire moyen des hommes en 2019 (€);;;NUM;16
SNHMHC19;Salaire net hor. moy. H cadres sup. en 2019 (€);Salaire net horaire moyen des hommes cadres, professions intellectuelles supérieures et des chefs d'entreprises salariés en 2019 (€);;;NUM;16
SNHMHP19;Salaire net hor. moy. H prof inter. en 2019 (€);Salaire net horaire moyen des hommes exerçant une profession intermédiaire en 2019 (€);;;NUM;16
SNHMHE19;Salaire net hor. moy. H employés en 2019 (€);Salaire net horaire moyen des hommes employés en 2019 (€);;;NUM;16
SNHMHO19;Salaire net hor. moy. H ouvriers en 2019 (€);Salaire net horaire moyen des hommes ouvriers en 2019 (€);;;NUM;16
SNHM1819;Salaire net horaire moyen 18 à 25 ans en 2019 (€);Salaire net horaire moyen des personnes de 18 à 25 ans en 2019 (€);;;NUM;15
SNHM2619;Salaire net horaire moyen 26 à 50 ans en 2019 (€);Salaire net horaire moyen des personnes de 26 à 50 ans en 2019 (€);;;NUM;16
SNHM5019;Salaire net horaire moyen plus de 50 ans en 2019 (€);Salaire net horaire moyen des personnes de plus de 50 ans en 2019 (€);;;NUM;15
SNHMF1819;Salaire net horaire moyen F 18 à 25 ans en 2019 (€);Salaire net horaire moyen des femmes de 18 à 25 ans en 2019 (€);;;NUM;15
SNHMF2619;Salaire net horaire moyen F 26 à 50 ans en 2019 (€);Salaire net horaire moyen des femmes de 26 à 50 ans en 2019 (€);;;NUM;16
SNHMF5019;Salaire net horaire moyen F plus de 50 ans en 2019 (€);Salaire net horaire moyen des femmes plus de 50 ans en 2019 (€);;;NUM;16
SNHMH1819;Salaire net horaire moyen H 18 à 25 ans en 2019 (€);Salaire net horaire moyen des hommes  de 18 à 25 ans en 2019 (€);;;NUM;16
SNHMH2619;Salaire net horaire moyen H 26 à 50 ans en 2019 (€);Salaire net horaire moyen des hommes de 26 à 50 ans en 2019 (€);;;NUM;16
SNHMH5019;Salaire net horaire moyen H plus de 50 ans en 2019 (€);Salaire net horaire moyen des hommes de plus de 50 ans en 2019 (€);;;NUM;16
CODGEO;Code géographique;Code de la zone géographique;1;France (hors Mayotte);CHAR;1
